sex,typesite,chheight,mtheight,epreas1,foodexp,y
Female,Rural,103.5,149.55,Important,1030,0
Female,Rural,104.55,149.55,Very important,1470,0
Female,Rural,106.55,149.55,Important,1612,0
Female,Urban,113.15,149.55,Important,1284,0
Female,Urban,100.15,149.55,Moderately important,1484,0
Male,Urban,103.3,149.6,Important,1130,0
Female,Rural,98.5,149.6,Not very important,2640,1
Female,Urban,110.5,149.6,Moderately important,1044,0
Female,Urban,105.85,149.6,Important,1648,0
Male,Rural,107.35,149.65,Not very important,594,0
Female,Rural,102.1,149.65,Important,834,0
Female,Rural,100.2,149.7,Important,546,1
Male,Rural,101.45,149.7,Important,760,1
Male,Rural,101.1,149.7,Important,1222,1
Female,Rural,107.55,149.7,Moderately important,1212,0
Female,Rural,106.7,149.7,Important,1958,0
Male,Urban,107.3,149.7,Important,1872,0
Female,Urban,107.6,149.7,Very important,926,0
Male,Rural,107.7,149.75,Important,742,0
Male,Rural,101.6,149.8,Moderately important,510,1
Female,Rural,104.1,149.8,Not important at all,886,0
Male,Rural,110.8,149.8,Not very important,4710,0
Male,Urban,115.2,149.8,Not important at all,2692,0
Male,Urban,103.5,149.8,Not important at all,974,1
Male,Urban,106.1,149.8,Moderately important,1089,0
Male,Rural,104.15,149.85,Important,934,0
Female,Rural,105.6,149.85,Important,1056,0
Female,Urban,107.65,149.85,Important,2652,0
Male,Urban,104.55,149.9,Moderately important,1030,0
Male,Rural,112.05,149.9,Important,556,0
Female,Rural,102.3,149.9,Important,1212,0
Female,Rural,97.2,149.9,Important,610,1
Female,Rural,106.3,149.9,Not very important,830,0
Female,Rural,103,149.9,Moderately important,864,0
Female,Rural,107.05,149.9,Important,1688,0
Female,Rural,100.55,149.9,Important,550,0
Male,Rural,109.05,149.9,Not very important,1290,0
Male,Rural,113.15,149.9,Important,844,0
Female,Rural,103.6,149.9,Important,1284,0
Female,Rural,103.1,149.9,Moderately important,524,0
Male,Rural,109.6,149.9,Important,756,0
Male,Rural,104.4,149.9,Important,996,0
Male,Rural,98.05,149.95,Moderately important,458,1
Female,Rural,102.5,149.95,Not very important,1382,0
Male,Rural,110.55,149.95,Very important,1346,0
Male,Rural,100.95,149.95,Important,892,1
Female,Rural,91.05,149.95,Very important,1146,1
Female,Rural,105.85,149.95,Not very important,1016,0
Female,Rural,103.8,149.95,Important,1476,0
Male,Urban,108.95,149.95,Important,798,0
Male,Urban,111.85,149.95,Important,6120,0
Female,Rural,100.4,150,Important,784,0
Male,Rural,98.45,150,Moderately important,822,1
Male,Rural,104.9,150,Important,504,0
Male,Rural,101.8,150,Important,608,1
Male,Rural,103,150,Important,956,0
Female,Rural,99.7,150,Not very important,1054,0
Male,Rural,99.7,150,Important,1014,1
Female,Rural,104.8,150,Important,506,0
Male,Rural,103.05,150,Important,426,0
Female,Rural,104,150,Not very important,792,0
Female,Rural,108,150,Important,870,0
Male,Rural,105.1,150,Important,834,1
Male,Rural,102.65,150,Important,890,0
Male,Urban,111.4,150,Not very important,1774,0
Male,Urban,105.7,150,Important,650,0
Male,Urban,110.5,150,Moderately important,2208,0
Female,Urban,107.45,150,Not very important,1514,0
Male,Rural,105.1,150.05,Important,1790,0
Male,Rural,99.4,150.05,Very important,532,1
Male,Rural,108.05,150.05,Important,1230,0
Female,Rural,105.5,150.05,Important,1558,0
Female,Rural,103.4,150.05,Very important,950,0
Female,Rural,101.85,150.05,Important,1504,0
Female,Rural,103.15,150.05,Moderately important,1042,0
Female,Rural,100.4,150.05,Important,836,1
Female,Urban,98.55,150.05,Important,654,1
Male,Rural,99.85,150.1,Important,740,1
Female,Rural,100.35,150.1,Moderately important,964,1
Female,Rural,103.4,150.1,Important,740,0
Female,Rural,106.45,150.1,Moderately important,478,0
Female,Rural,97.2,150.1,Important,648,1
Male,Urban,102.05,150.1,Moderately important,1332,0
Male,Rural,100.2,150.1,Important,1150,0
Female,Rural,102.55,150.1,Important,940,0
Female,Rural,104,150.1,Important,516,0
Male,Rural,104.1,150.15,Very important,964,0
Female,Rural,103.05,150.15,Important,1160,0
Male,Rural,107.55,150.15,Important,702,0
Female,Urban,110.05,150.15,Important,974,0
Male,Urban,112.5,150.15,Not very important,554,0
Male,Rural,101.9,150.2,Moderately important,1136,0
Male,Rural,102.8,150.2,Important,570,0
Female,Rural,97.3,150.2,Important,926,1
Female,Rural,101.1,150.2,Very important,1072,0
Male,Rural,107.45,150.2,Important,1850,0
Male,Rural,104,150.2,Important,1072,0
Male,Rural,99.3,150.2,Important,1066,1
Female,Rural,99.5,150.2,Important,806,1
Female,Rural,96.05,150.2,Important,1248,1
Male,Urban,102.25,150.2,Important,1472,0
Female,Rural,99.5,150.25,Very important,574,1
Male,Urban,109.55,150.25,Important,1220,0
Male,Urban,110.8,150.25,Moderately important,2208,0
Male,Rural,99.4,150.3,Moderately important,502,1
Male,Rural,100,150.3,Important,822,0
Male,Rural,104.95,150.3,Important,1420,0
Male,Rural,101.95,150.3,Very important,738,1
Male,Rural,103.95,150.3,Important,1054,0
Female,Rural,101.25,150.3,Very important,850,1
Female,Rural,105,150.3,Important,2760,0
Female,Rural,102.95,150.35,Important,282,0
Female,Rural,104.35,150.35,Important,1266,0
Female,Urban,109.7,150.35,Moderately important,796,0
Female,Rural,107.3,150.4,Moderately important,884,0
Male,Rural,109.8,150.4,Important,1294,0
Male,Rural,104,150.4,Important,1278,0
Male,Rural,98.9,150.4,Important,592,1
Female,Rural,97.4,150.4,Moderately important,590,1
Male,Rural,100.1,150.4,Important,922,1
Male,Urban,114.3,150.4,Important,1256,0
Female,Urban,106.35,150.4,Not important at all,1176,0
Male,Rural,103,150.45,Moderately important,1210,1
Male,Rural,109.05,150.45,Moderately important,3038,0
Female,Rural,109.05,150.45,Very important,884,0
Female,Rural,104.3,150.45,Very important,952,0
Female,Rural,100.9,150.45,Moderately important,1332,1
Male,Rural,105.9,150.45,Important,876,0
Male,Urban,104.3,150.45,Moderately important,864,0
Male,Urban,109.9,150.45,Important,1654,0
Female,Rural,108.7,150.5,Very important,738,0
Female,Rural,103.3,150.5,Important,784,0
Male,Rural,100.3,150.5,Important,374,1
Female,Rural,108.45,150.5,Important,1962,0
Female,Rural,96.5,150.5,Important,534,1
Male,Rural,98.4,150.5,Important,758,1
Female,Rural,102.05,150.5,Very important,1488,0
Male,Rural,103.6,150.5,Very important,824,0
Female,Rural,101.95,150.5,Important,352,1
Male,Urban,106.2,150.5,Important,1606,0
Female,Urban,102.9,150.5,Important,3260,1
Male,Rural,110.55,150.55,Moderately important,940,0
Male,Rural,107,150.55,Important,1114,0
Male,Rural,100.65,150.55,Important,460,1
Male,Rural,102.05,150.55,Moderately important,550,1
Female,Urban,108.3,150.55,Not important at all,3280,0
Female,Rural,101.4,150.6,Important,1256,0
Male,Rural,103.35,150.6,Important,1160,0
Male,Urban,110.15,150.6,Moderately important,1658,0
Male,Rural,105.75,150.65,Important,1020,0
Female,Rural,103.65,150.65,Important,472,0
Male,Rural,111.15,150.65,Not very important,546,0
Male,Rural,106.7,150.65,Important,1080,0
Male,Rural,100.5,150.65,Important,1200,1
Female,Urban,107.65,150.65,Moderately important,1802,0
Female,Rural,106.3,150.7,Important,708,0
Female,Rural,106.65,150.7,Important,1866,0
Male,Rural,100.1,150.7,Important,738,1
Female,Rural,97.6,150.7,Important,546,1
Female,Rural,104.25,150.7,Important,530,0
Male,Rural,105.65,150.7,Moderately important,1238,0
Male,Rural,98.5,150.7,Important,354,1
Female,Rural,99.05,150.7,Important,640,1
Female,Urban,105.1,150.7,Important,932,0
Female,Rural,104.05,150.75,Important,678,0
Female,Rural,99.05,150.8,Important,560,1
Female,Rural,98.8,150.8,Important,1248,1
Female,Rural,108.6,150.8,Very important,560,0
Male,Rural,103.3,150.8,Very important,752,0
Female,Rural,107.15,150.8,Important,756,0
Female,Rural,102,150.8,Important,478,0
Male,Rural,115.3,150.8,Important,1052,0
Male,Rural,98.35,150.8,Important,563,1
Female,Rural,101,150.85,Very important,1806,0
Female,Rural,102.35,150.85,Important,1248,0
Male,Rural,110.85,150.85,Very important,600,0
Male,Rural,103.9,150.9,Important,1240,0
Female,Rural,112,150.9,Important,846,0
Female,Urban,102.45,150.9,Moderately important,900,1
Female,Rural,107.55,150.95,Important,1206,0
Male,Rural,103.25,150.95,Moderately important,1040,1
Male,Rural,99.95,150.95,Important,452,1
Female,Urban,105.8,150.95,Moderately important,2062,0
Male,Rural,98.55,151,Important,942,1
Female,Rural,102.6,151,Important,324,0
Male,Rural,109.35,151,Important,400,0
Male,Urban,113.35,151,Not important at all,1406,0
Male,Rural,96.5,151,Moderately important,870,1
Male,Rural,103.4,151,Not very important,746,0
Female,Rural,101.2,151,Not very important,1202,0
Female,Rural,101.5,151,Important,634,0
Male,Rural,101.05,151,Important,706,1
Male,Rural,94.3,151,Very important,444,1
Female,Rural,95.6,151,Important,992,1
Male,Rural,103.2,151,Moderately important,622,0
Male,Urban,117.8,151,Moderately important,2480,0
Male,Urban,111.5,151,Moderately important,2502,0
Male,Rural,106.45,151.05,Important,746,0
Male,Rural,100.6,151.05,Important,772,0
Male,Rural,97,151.05,Not very important,884,1
Female,Rural,102.35,151.05,Important,832,0
Male,Rural,111.3,151.05,Important,880,0
Male,Rural,104.6,151.1,Important,1560,1
Female,Rural,103.25,151.1,Moderately important,1186,0
Male,Rural,99,151.1,Important,1420,1
Male,Rural,104,151.1,Important,980,0
Male,Rural,105.05,151.1,Important,900,0
Female,Rural,104.3,151.1,Important,962,0
Male,Rural,110.45,151.1,Important,800,0
Male,Rural,102.5,151.15,Not very important,1198,0
Male,Rural,99.9,151.15,Important,1060,1
Male,Rural,102.8,151.15,Very important,734,0
Male,Rural,105,151.15,Important,442,0
Female,Rural,101.35,151.15,Important,1190,0
Male,Urban,108.65,151.15,Important,1180,0
Male,Urban,107.4,151.15,Important,690,0
Female,Rural,102.5,151.2,Moderately important,1158,0
Female,Rural,104.65,151.2,Important,1488,0
Male,Rural,102.75,151.2,Very important,964,0
Male,Rural,105.15,151.2,Important,744,0
Male,Rural,111.8,151.2,Important,1030,0
Male,Rural,107.15,151.2,Moderately important,388,0
Male,Urban,111.95,151.2,Important,2254,0
Female,Urban,105.6,151.2,Important,1284,0
Male,Rural,109.05,151.25,Important,308,0
Female,Rural,102.45,151.3,Important,556,0
Female,Rural,104.6,151.3,Important,1040,0
Female,Rural,103,151.3,Very important,704,0
Female,Rural,106.55,151.3,Important,1328,0
Female,Rural,103.35,151.3,Very important,930,0
Female,Urban,105.35,151.3,Important,924,0
Male,Urban,108.5,151.3,Important,1550,0
Male,Urban,110.25,151.3,Important,2484,0
Female,Urban,104.7,151.3,Important,1412,0
Female,Urban,107,151.3,Important,1978,0
Male,Rural,96.4,151.35,Important,880,1
Female,Rural,105.35,151.35,Important,1200,0
Male,Rural,99.95,151.35,Important,996,1
Female,Rural,107.6,151.35,Moderately important,1610,0
Male,Rural,111.15,151.35,Important,1690,0
Female,Urban,114.15,151.35,Important,1346,0
Female,Urban,113.1,151.35,Important,838,0
Female,Rural,104,151.4,Important,1158,0
Female,Rural,104.6,151.4,Important,802,0
Male,Rural,103.1,151.4,Important,1089,0
Male,Rural,106.2,151.4,Important,662,0
Female,Rural,103.2,151.4,Important,1106,0
Male,Rural,108.3,151.4,Very important,748,0
Female,Rural,107.65,151.4,Moderately important,414,0
Female,Rural,100.05,151.4,Important,746,1
Male,Urban,112.7,151.4,Not important at all,1884,0
Female,Rural,95,151.45,Important,564,1
Male,Rural,96.25,151.45,Important,2466,1
Male,Rural,108.1,151.45,Moderately important,2178,0
Female,Rural,107.65,151.45,Important,1306,0
Male,Rural,97.85,151.45,Very important,1020,1
Female,Rural,100.4,151.5,Moderately important,2076,0
Female,Rural,106.2,151.5,Important,1310,0
Female,Rural,106.2,151.5,Important,870,0
Male,Rural,109.4,151.5,Important,1578,0
Male,Rural,104.1,151.5,Important,566,1
Male,Rural,107.5,151.5,Important,658,0
Male,Urban,109.7,151.5,Very important,590,0
Female,Rural,104.05,151.55,Important,1604,0
Male,Rural,105.45,151.55,Not important at all,572,0
Female,Rural,106.2,151.55,Important,1386,0
Male,Rural,97.6,151.55,Very important,594,1
Male,Rural,99.35,151.55,Important,908,1
Female,Urban,109.5,151.55,Important,1978,0
Female,Rural,106.45,151.6,Very important,794,0
Male,Rural,107.95,151.6,Not very important,986,0
Male,Rural,100.45,151.6,Not very important,402,0
Female,Rural,98.5,151.6,Moderately important,734,1
Female,Rural,102.45,151.6,Important,560,0
Male,Rural,110,151.6,Important,828,0
Female,Rural,95.65,151.6,Very important,646,1
Male,Urban,117.8,151.6,Moderately important,3178,0
Female,Urban,102.7,151.6,Important,1198,0
Male,Urban,109.05,151.6,Very important,1520,0
Female,Rural,101.4,151.65,Important,814,0
Male,Rural,101.15,151.65,Very important,1340,0
Female,Rural,109.65,151.65,Very important,542,0
Male,Rural,109.75,151.65,Very important,1154,0
Female,Rural,111,151.7,Important,796,0
Female,Rural,104.65,151.7,Important,1174,0
Male,Rural,119.1,151.7,Important,1084,0
Male,Rural,92,151.7,Very important,1098,1
Female,Rural,105,151.7,Very important,1320,0
Male,Urban,104.5,151.7,Important,716,0
Male,Rural,97.75,151.75,Moderately important,1450,1
Female,Rural,105.05,151.75,Important,736,0
Male,Rural,109.05,151.75,Important,1000,0
Male,Urban,110.4,151.75,Important,1972,0
Male,Urban,106.7,151.75,Important,2360,0
Female,Rural,101,151.8,Important,768,0
Male,Rural,105.1,151.8,Important,936,0
Female,Rural,106.5,151.8,Important,1122,0
Male,Rural,111.6,151.8,Important,692,0
Male,Rural,106,151.8,Important,1244,0
Female,Rural,95.35,151.8,Very important,866,1
Female,Rural,103.7,151.8,Moderately important,468,0
Male,Rural,105,151.8,Moderately important,590,0
Male,Urban,110.45,151.8,Important,720,0
Female,Urban,100.6,151.8,Not important at all,932,0
Female,Rural,102.4,151.85,Moderately important,764,0
Male,Rural,101.3,151.85,Important,714,1
Male,Rural,95.95,151.85,Important,2030,1
Female,Rural,101.9,151.85,Important,708,0
Female,Rural,99.65,151.85,Important,662,1
Female,Rural,100.9,151.9,Important,1718,1
Male,Rural,106.1,151.9,Important,600,0
Male,Rural,105.1,151.9,Important,444,0
Male,Rural,105.9,151.9,Not important at all,1672,0
Female,Rural,97.8,151.9,Important,1164,1
Female,Rural,102.45,151.9,Important,732,0
Male,Rural,105.6,151.9,Important,1984,0
Female,Urban,104.5,151.9,Not important at all,1870,0
Male,Urban,103.1,151.9,Important,1730,0
Female,Rural,114.05,151.95,Moderately important,1192,0
Male,Rural,103,151.95,Important,548,0
Male,Rural,97.2,151.95,Moderately important,346,1
Female,Rural,106.25,152,Important,856,0
Female,Rural,108.4,152,Important,884,0
Female,Rural,107.3,152,Important,880,0
Male,Rural,96.6,152,Important,1522,1
Female,Rural,99.75,152,Very important,850,1
Female,Rural,110,152,Important,614,0
Male,Urban,107.55,152,Important,1484,0
Male,Urban,104.55,152,Important,1140,0
Male,Urban,110.4,152,Not very important,3962,0
Male,Urban,105.8,152,Important,1812,0
Female,Urban,110.1,152,Important,1652,0
Male,Urban,114.55,152,Moderately important,1124,0
Female,Rural,105.3,152.05,Important,924,0
Female,Rural,104.05,152.05,Important,884,0
Female,Rural,105.75,152.05,Not very important,1814,0
Female,Rural,91.5,152.05,Moderately important,1238,1
Female,Rural,99.6,152.05,Very important,1144,1
Male,Rural,108.25,152.05,Important,870,0
Male,Rural,103.5,152.1,Not very important,1266,0
Female,Rural,103.3,152.1,Important,742,0
Female,Rural,101.9,152.1,Important,678,0
Female,Rural,101.9,152.1,Very important,650,0
Female,Rural,98.95,152.1,Very important,658,1
Male,Rural,99.05,152.1,Important,1418,1
Female,Rural,99.3,152.1,Very important,954,0
Male,Rural,100.55,152.1,Important,1270,1
Male,Rural,102.6,152.1,Important,740,0
Male,Rural,107.2,152.1,Important,522,0
Female,Rural,101.8,152.1,Moderately important,384,0
Female,Urban,106.8,152.1,Moderately important,1110,0
Male,Rural,102.65,152.15,Important,1322,1
Female,Rural,105.05,152.15,Important,578,0
Female,Rural,109.25,152.15,Important,1472,0
Male,Rural,107.25,152.15,Important,1836,0
Male,Rural,105.6,152.15,Not important at all,880,0
Female,Rural,104.5,152.2,Important,222,0
Female,Rural,103.1,152.2,Moderately important,1288,0
Male,Rural,110,152.2,Not very important,1158,0
Female,Rural,98.5,152.2,Moderately important,846,0
Female,Rural,99,152.2,Important,1010,1
Male,Rural,105.6,152.2,Important,1026,0
Male,Rural,107,152.2,Important,1022,0
Female,Rural,108.4,152.2,Important,800,0
Male,Urban,103.5,152.2,Not very important,700,0
Male,Urban,110.1,152.2,Moderately important,2802,0
Male,Urban,111.25,152.2,Moderately important,1594,0
Male,Urban,102.8,152.2,Important,1830,0
Male,Urban,99.4,152.2,Important,1088,1
Male,Urban,112.5,152.2,Not important at all,2376,0
Male,Rural,104.45,152.25,Important,858,0
Female,Urban,113.2,152.25,Important,2106,0
Female,Rural,95.55,152.3,Moderately important,1010,1
Male,Rural,103.7,152.3,Moderately important,638,0
Female,Rural,101.7,152.3,Not very important,1874,0
Female,Rural,101.45,152.3,Very important,1176,0
Male,Rural,104,152.3,Very important,984,0
Male,Rural,108,152.3,Very important,896,0
Female,Rural,103.05,152.3,Important,672,0
Male,Rural,103.5,152.3,Important,1120,1
Male,Urban,114.3,152.3,Important,1382,0
Female,Urban,107.5,152.3,Important,1252,0
Male,Rural,114.65,152.35,Important,974,0
Male,Rural,107.9,152.35,Moderately important,1042,0
Male,Rural,102.85,152.35,Important,866,0
Male,Rural,97.25,152.35,Important,368,1
Female,Urban,109.9,152.35,Important,2592,0
Male,Rural,105.8,152.4,Important,698,0
Female,Rural,96.6,152.4,Important,830,1
Male,Rural,106.7,152.4,Not very important,1132,0
Male,Rural,108.95,152.4,Important,1786,0
Male,Rural,107.5,152.4,Important,1142,0
Male,Rural,100.2,152.4,Moderately important,1012,1
Female,Rural,109.25,152.4,Important,978,0
Female,Rural,105.2,152.4,Important,2706,0
Male,Rural,106.2,152.45,Important,1396,0
Female,Rural,98.25,152.45,Very important,566,1
Female,Rural,104.7,152.45,Not very important,606,0
Female,Rural,111,152.45,Important,776,0
Female,Rural,106.45,152.45,Very important,2030,0
Male,Rural,100,152.45,Important,508,1
Female,Rural,104.65,152.45,Important,806,0
Male,Rural,105,152.5,Moderately important,1124,0
Male,Rural,106,152.5,Important,1450,0
Female,Rural,102.2,152.5,Important,755,0
Male,Rural,107,152.5,Moderately important,1432,0
Male,Rural,103.1,152.5,Important,720,0
Male,Rural,107.65,152.5,Not very important,908,0
Female,Rural,102.7,152.5,Moderately important,612,0
Male,Rural,97,152.5,Important,628,0
Male,Rural,107.5,152.5,Important,1460,0
Male,Rural,101.6,152.5,Important,634,0
Female,Rural,101.25,152.5,Important,500,0
Male,Rural,97.3,152.5,Important,592,1
Male,Urban,101.4,152.5,Important,2278,1
Male,Urban,104.6,152.5,Important,1592,0
Male,Rural,107.45,152.55,Important,786,0
Female,Rural,100.25,152.55,Moderately important,1218,0
Male,Rural,107.05,152.55,Moderately important,1302,0
Male,Rural,104.2,152.55,Important,764,0
Female,Urban,112.45,152.55,Important,932,0
Female,Rural,105.65,152.55,Important,1098,0
Female,Rural,107,152.55,Moderately important,1054,0
Female,Urban,110.35,152.55,Important,1324,0
Male,Rural,99.25,152.6,Moderately important,796,1
Female,Rural,103.3,152.6,Important,822,0
Male,Rural,99.45,152.6,Not important at all,1302,0
Male,Rural,105.2,152.6,Moderately important,1006,0
Female,Urban,110.4,152.6,Important,3726,0
Male,Urban,108.3,152.6,Important,1180,0
Male,Urban,104.2,152.6,Important,1294,0
Male,Urban,102.8,152.6,Important,1824,0
Female,Urban,107.65,152.6,Important,1431,0
Female,Rural,105.15,152.65,Important,744,0
Female,Urban,108.4,152.65,Important,1740,0
Male,Rural,102.65,152.65,Important,440,1
Male,Urban,104,152.65,Important,1120,0
Male,Rural,103.05,152.7,Important,1368,0
Female,Rural,105.1,152.7,Important,1610,0
Male,Rural,106,152.7,Moderately important,300,0
Female,Rural,102.1,152.7,Moderately important,1446,1
Female,Rural,101.5,152.7,Important,1204,0
Female,Rural,101.6,152.7,Important,540,0
Male,Rural,99.5,152.7,Very important,2070,1
Female,Rural,109.2,152.7,Important,720,0
Female,Urban,98.2,152.7,Important,712,1
Female,Urban,107.25,152.7,Important,876,0
Male,Urban,104.25,152.7,Moderately important,1288,0
Female,Rural,101.55,152.75,Important,1098,0
Female,Rural,109.65,152.75,Important,586,0
Female,Rural,97.9,152.75,Important,976,0
Male,Rural,108.9,152.75,Very important,566,0
Male,Rural,114.1,152.75,Important,1190,0
Male,Rural,107.05,152.8,Important,584,0
Female,Rural,107,152.8,Moderately important,722,0
Male,Urban,100.1,152.8,Important,728,0
Male,Rural,108,152.85,Important,354,0
Male,Rural,105.05,152.85,Important,1368,0
Female,Rural,98.7,152.85,Very important,640,1
Female,Rural,103.2,152.85,Moderately important,940,0
Male,Urban,106.5,152.85,Important,2960,0
Male,Rural,103.85,152.9,Important,924,0
Female,Rural,103.8,152.9,Important,402,0
Female,Rural,101.9,152.9,Not important at all,874,0
Female,Rural,104.4,152.9,Important,730,0
Female,Urban,105.5,152.9,Important,1502,0
Male,Urban,103.85,152.9,Important,652,1
Female,Urban,100.5,152.9,Important,1150,0
Male,Rural,104.2,152.95,Important,708,0
Male,Rural,97.4,152.95,Not important at all,596,1
Female,Urban,103.5,152.95,Important,6386,0
Female,Rural,99.3,153,Important,1050,1
Male,Rural,112,153,Important,802,0
Male,Rural,97.5,153,Moderately important,630,1
Male,Rural,99.25,153,Important,818,1
Male,Rural,100,153,Important,794,0
Male,Rural,118.9,153,Important,1240,0
Male,Rural,114.55,153,Important,1002,0
Male,Rural,107.4,153,Very important,964,0
Female,Rural,101.2,153,Important,386,0
Male,Rural,102.1,153,Very important,1612,0
Male,Rural,101.5,153,Important,616,0
Female,Urban,116.3,153,Important,704,0
Female,Rural,107.35,153.05,Important,1012,0
Male,Rural,102,153.05,Important,730,1
Female,Rural,98.5,153.05,Not very important,1192,1
Male,Rural,119.5,153.05,Important,3318,0
Female,Rural,102.25,153.05,Important,1492,1
Male,Rural,103.2,153.05,Very important,520,0
Female,Urban,108.25,153.05,Important,2650,0
Male,Urban,114.45,153.05,Important,1404,0
Male,Rural,104.3,153.1,Not important at all,798,0
Female,Rural,111.6,153.1,Important,1258,0
Male,Urban,110.8,153.1,Important,3026,0
Female,Rural,100.05,153.15,Important,2144,0
Female,Rural,104.05,153.15,Important,804,0
Female,Urban,113.15,153.15,Important,3092,0
Female,Rural,116.8,153.2,Important,452,0
Male,Rural,100.6,153.2,Not very important,1204,0
Female,Rural,106.1,153.2,Important,1206,0
Female,Rural,102.05,153.2,Important,948,0
Female,Rural,106.7,153.2,Important,1038,0
Male,Rural,104,153.2,Important,690,0
Female,Rural,106.4,153.2,Very important,712,0
Female,Urban,107.65,153.2,Important,1548,0
Female,Urban,103.65,153.2,Important,770,0
Male,Urban,105.85,153.2,Important,1414,0
Male,Rural,107.6,153.25,Moderately important,588,0
Male,Urban,104,153.25,Important,2074,0
Female,Urban,108.25,153.25,Important,758,0
Female,Urban,99.55,153.25,Moderately important,594,1
Male,Rural,103.15,153.3,Important,1116,0
Male,Rural,102,153.3,Important,920,0
Female,Rural,101.45,153.3,Very important,742,0
Female,Rural,100.8,153.3,Moderately important,828,0
Male,Rural,103.3,153.3,Important,886,0
Female,Rural,104,153.3,Important,624,0
Female,Rural,105.05,153.35,Moderately important,2050,0
Male,Rural,107.7,153.35,Moderately important,458,0
Male,Rural,109.8,153.35,Important,1372,0
Male,Urban,113.1,153.35,Important,1530,0
Female,Urban,107.1,153.35,Moderately important,1041,0
Male,Rural,97.1,153.4,Important,1400,1
Female,Rural,99,153.4,Important,928,1
Male,Rural,103.65,153.4,Important,1254,0
Female,Rural,105.4,153.4,Moderately important,970,0
Female,Rural,106.7,153.4,Important,858,0
Male,Urban,111.8,153.4,Important,2662,0
Female,Urban,107.7,153.4,Important,1278,0
Female,Rural,105.5,153.5,Important,806,0
Male,Rural,101.65,153.5,Important,1002,1
Male,Rural,108.1,153.5,Moderately important,988,0
Female,Rural,104.2,153.5,Moderately important,912,0
Female,Rural,106.7,153.5,Important,884,0
Male,Rural,104,153.5,Important,412,0
Male,Rural,106.6,153.5,Very important,1204,0
Male,Rural,100.15,153.5,Very important,310,0
Female,Rural,100.1,153.5,Important,826,0
Female,Rural,104.7,153.5,Important,1174,0
Male,Rural,104.45,153.5,Important,406,0
Female,Urban,114.5,153.5,Moderately important,2400,0
Female,Rural,106.7,153.55,Important,1306,0
Female,Rural,105.95,153.55,Important,2160,0
Male,Rural,109.25,153.55,Important,604,0
Female,Rural,102.5,153.55,Important,830,1
Female,Rural,101.2,153.6,Moderately important,528,0
Male,Rural,109.75,153.6,Important,466,0
Female,Rural,105.3,153.6,Important,446,0
Male,Rural,110.55,153.6,Important,940,0
Female,Rural,104.25,153.6,Important,1640,0
Female,Urban,106,153.6,Moderately important,1404,0
Male,Rural,98.55,153.65,Moderately important,990,1
Male,Rural,109.4,153.65,Important,764,0
Male,Rural,106.4,153.65,Important,1130,0
Female,Rural,98.85,153.65,Important,1170,1
Female,Urban,107.45,153.65,Very important,3192,0
Male,Urban,120.8,153.65,Important,1368,0
Male,Rural,98.5,153.7,Important,936,1
Male,Rural,110.4,153.7,Moderately important,1672,0
Female,Rural,96.6,153.7,Important,654,1
Male,Rural,106.1,153.7,Important,1290,0
Male,Rural,104.8,153.7,Moderately important,1444,0
Female,Rural,102.1,153.7,Moderately important,866,0
Male,Rural,109.45,153.7,Important,932,0
Male,Urban,112.3,153.7,Important,2820,0
Male,Urban,112.6,153.7,Moderately important,2994,0
Female,Urban,112.9,153.7,Moderately important,1326,0
Male,Rural,98.6,153.75,Important,1378,1
Female,Rural,100.55,153.75,Important,450,1
Male,Rural,105.2,153.75,Important,582,0
Male,Urban,107.2,153.75,Important,1494,0
Female,Urban,105.65,153.75,Moderately important,1742,0
Male,Rural,103.45,153.8,Moderately important,404,1
Male,Rural,105.8,153.8,Important,556,0
Male,Rural,107.55,153.8,Important,1746,0
Female,Urban,107.8,153.8,Important,8046,0
Female,Urban,111.4,153.8,Important,3480,0
Female,Urban,113.5,153.8,Important,1266,0
Male,Rural,109.5,153.85,Important,1374,0
Female,Rural,104.5,153.85,Important,1080,0
Female,Rural,99.55,153.85,Important,374,0
Female,Rural,106.3,153.85,Important,888,0
Female,Urban,104.05,153.85,Important,1380,0
Female,Rural,106.55,153.9,Moderately important,1550,0
Male,Rural,107.85,153.9,Important,904,0
Male,Rural,104.4,153.9,Moderately important,1104,0
Male,Urban,107.65,153.9,Moderately important,1770,0
Male,Urban,108.4,153.9,Important,2498,0
Female,Urban,106,153.9,Important,1350,0
Male,Rural,100.25,153.95,Important,1390,0
Male,Rural,106.05,153.95,Important,1078,0
Male,Rural,106.1,154,Important,1008,0
Female,Rural,109.75,154,Important,1714,0
Female,Rural,106.55,154,Important,1016,0
Male,Rural,100.5,154,Moderately important,620,0
Female,Rural,105.15,154,Important,1602,0
Female,Rural,102.5,154,Very important,942,0
Female,Rural,113.65,154,Important,662,0
Male,Rural,103.5,154,Very important,2052,1
Female,Rural,101.65,154,Important,1168,0
Male,Urban,113.8,154,Very important,1519,0
Male,Urban,107.2,154,Not important at all,1874,0
Male,Urban,105.5,154,Moderately important,2678,0
Female,Urban,104.2,154,Important,868,0
Female,Urban,106.1,154,Not very important,1167,0
Male,Urban,112.2,154,Moderately important,1152,0
Male,Rural,119.75,154.05,Moderately important,836,0
Male,Rural,99.65,154.05,Important,568,1
Female,Rural,108.6,154.05,Very important,713,0
Male,Rural,113.25,154.1,Moderately important,1214,0
